Title,Artist,Year,Rank,Lyrics
Lights,Ellie Goulding,2012,5,"[Verse 1]I had a way thenLosing it all on my ownI had a heart thenBut the queen has been overthrownAnd I'm not sleeping nowThe dark is too hard to beatAnd I'm not keeping upThe strength I need to push me[Chorus]You show the lights that stop me turn to stoneYou shine it when I'm aloneAnd so I tell myself that I'll be strongAnd dreaming when they're goneCause they're calling, calling, calling me homeCalling, calling, calling homeYou show the lights that stop me turn to stoneYou shine it when I'm alone[Verse 2]Noises, I play within my headTouch my own skinAnd hope that I'm still breathingAnd I think back to whenMy brother and my sister sleptIn an unlocked placeThe only time I feel safe"
Glad You Came,The Wanted,2012,6,"[Chorus: Max George]The sun goes down, the stars come outAnd all that counts is here and nowMy universe will never be the sameI'm glad you came (Came, came, came)[Verse 1: Nathan Sykes]You cast a spell on me, spell on meYou hit me like the sky fell on me, fell on meAnd I decided you look well on me, well on meSo let's go somewhere no one else can seeYou and me[Pre-Chorus: Tom Parker]Turn the lights out nowNow, I'll take you by the handHand you another drinkDrink it if you canCan you spend a little time?Time is slipping awayAway from us, so stayStay with me, I can makeMake you glad you came[Chorus: All]The sun goes down, the stars come outAnd all that counts is here and nowMy universe will never be the sameI'm glad you cameI'm glad you came"
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,7,"[Verse 1]You know the bed feels warmerSleepin' here alone (Sleepin' here alone)You know I dream in colorAnd do the things I want (Do the things I want)[Pre-Chorus]You think you got the best of meThink you've had the last laughBet you think that everything good is goneThink you left me broken downThink that I'll come running backBaby, you don't know me, 'cause you're dead wrong[Chorus]What doesn't kill you makes you strongerStand a little tallerDoesn't mean I'm lonely when I'm aloneWhat doesn't kill you makes a fighterFootsteps even lighterDoesn't mean I'm over 'cause you're goneWhat doesn't kill you makes you stronger, strongerJust me, myself, and IWhat doesn't kill you makes you strongerStand a little tallerDoesn't mean I'm lonely when I'm alone"
We Found Love,Rihanna,2012,8,"[Video Intro: Agyness Deyn]It's like you're screaming, and no one can hearYou almost feel ashamed, that someone could be that importantThat without them, you feel like nothingNo one will ever understand how much it hurtsYou feel hopeless, like nothing can save youAnd when it's over and it's goneYou almost wish you could have all that bad stuff backSo that you could have the good[Verse 1: Rihanna]Yellow diamonds in the lightAnd we're standing side by sideAs your shadow crosses mineWhat it takes to come alive[Pre-Chorus: Rihanna]It's the way I'm feeling, I just can't denyBut I've gotta let it go[Chorus: Rihanna]We found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless placeWe found love in a hopeless place"
Starships,Nicki Minaj,2012,9,"[Intro]RedOneUh[Verse 1]Let's go to the beach, eachLet's go get a waveThey say what they gonna sayHave a drink, clink, found the Bud LightBad bitches, like me, is hard to come byThe Patrón own, let's go get it onThe zone on, yes, I'm in the zoneIs it two, three? Leave a good tipI'ma blow off my money and don't give two shits, oh-oh[Pre-Chorus]I'm on the floor, floorI love to danceSo give me more, more'Til I can't standGet on the floor, floorLike it's your last chanceIf you want more, moreThen here I am[Chorus]Starships, were meant to flyHands up, and touch the skyCan't stop 'cause we're so highLet's do this one more timeStarships, were meant to flyHands up, and touch the skyLet's do this one last timeCan't stop..."
What Makes You Beautiful,One Direction,2012,10,"[Verse 1: Liam]You're insecure, don't know what forYou're turning heads when you walk through the doorDon't need makeup to cover upBeing the way that you are is enough[Pre-Chorus: Harry]Everyone else in the room can see itEveryone else but you[Chorus: All & Harry]Baby, you light up my world like nobody elseThe way that you flip your hair gets me overwhelmedBut when you smile at the ground, it ain't hard to tellYou don't know, oh, oh, you don't know you're beautifulIf only you saw what I can seeYou'll understand why I want you so desperatelyRight now I'm looking at you and I can't believeYou don't know, you don't know you're beautifulThat's what makes you beautiful[Verse 2: Zayn]So c-come on, you got it wrongTo prove I'm right, I put it in a songI don't know why (I don't know why)You're being shy (Why you so shy?)And turn away when I look into your eyes"
Wild Ones,Flo Rida,2012,11,"[Chorus: Sia]Hey, I heard you are a wild oneOoh-oohIf I took you home, it'd be a home runShow me how you doI wanna shut down the clubWith youHey, I heard you like the wild ones, wild ones, wild onesOoh-ooh[Verse 1: Flo Rida]Oh, I, I like crazy, foolish, stupidParty going wild, fist pumping musicI might lose it, glass to the roofThat's how we do's it, do's it, do's itI don't care tonightShe don't care we likeAlmost there, the right vibeReady to get liveAin't no surpriseTake me so highJump and nose diveSurfing the crowdOoh-oohSaid I gotta be the manI'm the head of my bandMic check, one, two-oohShut 'em down in the club while the playboy doesAnd they all get loose, loose after bottleWe all get bent then again tomorrowGotta break rules 'cause that's the mottoClub shut down: a hundred super models"
Set Fire to the Rain,Adele,2012,12,"[Produced by Fraser T Smith][Verse 1]I let it fall, my heartAnd as it fell, you rose to claim itIt was dark, and I was overUntil you kissed my lips and you saved meMy hands, they were strongBut my knees were far too weakTo stand in your armsWithout falling to your feet[Pre-Chorus]But there's a side to youThat I never knew, never knewAll the things you'd sayThey were never true, never trueAnd the games you'd playYou would always win, always win[Chorus]But I set fire to the rainWatched it pour as I touched your faceWell, it burned while I cried'Cause I heard it screamin' out your nameYour name"
Sexy and I Know It,LMFAO,2012,13,"[Intro]Yeah, yeah[Verse 1]When I walk on by, girls be looking like, ""Damn, he fly""I pimp to the beat, walking down the street in my new LaFreakYeah, this is how I roll, animal print, pants outta controlIt's Redfoo with the big afroAnd like Bruce Leroy, I got the glow, yeah[Pre-Chorus]Girl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)Girl, look at that bodyGirl, look at that bodyGirl, look at that body (I-I-I work out)[Chorus]When I walk in the spot (Yeah), this is what I see (Okay)Everybody stops and is staring at meI got passion in my pants and I ain't afraid to show itShow it, show it, show itI'm sexy and I know itI'm sexy and I know it"
Some Nights,Fun,2012,14,"[Chorus]Some nights, I stay up cashing in my bad luckSome nights, I call it a drawSome nights, I wish that my lips could build a castleSome nights, I wish they'd just fall offBut I still wake up, I still see your ghostOh, Lord, I'm still not sure what I stand for, oh(Oh-ooh-woah) What do I stand for?(Oh-ooh-woah) What do I stand for?Most nights, I don't know anymore[Refrain]Oh-woah, oh-ooh-woah-ohOh-ooh-woah-oh, oh-ohOh-woah, oh-ooh-woah-ohOh-ooh-woah-oh, oh-oh[Verse 1]This is it, boys, this is war(Oh-woah, oh-ooh-woah-oh)What are we waiting for?(Oh-ooh-woah-oh, oh-oh)Why don't we break the rules already?I was never one to believe the hype(Oh-woah, oh-ooh-woah-oh)Save that for the black and white(Oh-ooh-woah-oh, oh-oh)Try twice as hard, and I'm half as likedBut here they come again to jack my style"
Wide Awake,Katy Perry,2012,15,"[Intro]I'm wide awakeI'm wide awakeI'm wide awake[Verse 1]Yeah, I was in the darkI was falling hardWith an open heart (I'm wide awake)How did I read the stars so wrong? (I'm wide awake)And now it's clear to meThat everything you seeAin't always what it seems (I'm wide awake)Yeah, I was dreaming for so long[Pre-Chorus]I wish I knew then, what I know nowWouldn't dive in, wouldn't bow downGravity hurts, you made it so sweet'Til I woke up on, on the concrete[Chorus]Falling from cloud nineCrashing from the highI'm letting go tonightYeah, I'm falling from cloud nine"
Good Feeling,Flo Rida,2012,16,"[Chorus: Etta James]Oh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeahOh, oh, sometimes I get a good feeling, yeahI get a feeling that INever, never, never, never had before, no noI get a good feeling, yeah[Verse 1: Flo Rida]Yes I can, doubt better leave, I'm runnin' with this planPull me, grab me, crabs in the bucket can't have meI'll be the president one dayJanuary first, oh, you like that gossip?Like you the one drinking what God sip—dot comNow I got a word for your tongueHow many rolling stones you want?Yeah I got a brand new spiritSpeaking it and it's doneWoke up on the side of the bed like I wonTalk like a winner, my chest to that sunG5 dealer, U.S. to TaiwanNow who can say that? I wanna play backMama knew I was a needle in a hay stackA Bugatti boy, plus MaybachI got a feeling it's a rap, ASAP"
Whistle,Flo Rida,2012,17,"[Chorus]Can you blow my whistle, baby, whistle, baby? Let me knowGirl, I'm gonna show you how to do it and we start real slowYou just put your lips together and you come real closeCan you blow my whistle, baby, whistle, baby? Here we go[Verse 1]Look, I'm bettin' you like peopleAnd I'm bettin' you love freak modeAnd I'm bettin' you like girlsThat give love to girls and stroke your little egoI bet you I'm guilty, your honor (Honor)That's just how we live in my genre (Genre)Who in the hell done paved the road wider?There's only one Flo and one RidaI'm a damn shame, order more champagnePulling them hamstrings, tryna put it on yaBet your lips spin back around, come upSlow it down, baby, take a little longer[Chorus]Can you blow my whistle, baby, whistle, baby? Let me knowGirl, I'm gonna show you how to do it and we start real slowYou just put your lips together and you come real closeCan you blow my whistle, baby, whistle, baby? Here we go"
One More Night,Maroon 5,2012,18,"[Intro]Ooh, ooh-ooh-ooh, ooh-ooh, ooh-oohOoh, ooh-ooh-ooh, ooh-ooh, ooh-ooh[Verse 1]You and I go hard at each other like we're going to warYou and I go rough, we keep throwing things and slamming the doorsYou and I get so damn dysfunctional, we stopped keeping scoreYou and I get sick, yeah, I know that we can't do this no more[Pre-Chorus]Yeah but baby, there you go again, there you go againMaking me love youYeah, I stopped using my head, using my headLet it all goGot you stuck on my body, on my body like a tattooAnd now I'm feeling stupid, feeling stupid crawling back to you[Chorus]So I cross my heart, and I hope to dieThat I'll only stay with you one more nightAnd I know I've said it a million timesBut I'll only stay with you one more night[Verse 2]Try to tell you ""no,"" but my body keeps on telling you ""yes""Try to tell you ""stop,"" but your lipstick got me so out of breathI'll be waking up in the morning, probably hating myselfAnd I'll be waking up, feeling satisfied, but guilty as hell"
